Player,Team,Age,GP,W,L,MIN,%FGA2PT,%FGA3PT,%PTS2PT,%PTS2PTMR,%PTS3PT,%PTSFBPs,%PTSFT,%PTSOffTO,%PTSPITP,2FGM%AST,2FGM%UAST,3FGM%AST,3FGM%UAST,FGM%AST,FGM%UAST
Aaron Gordon,DEN,26,74,45,29,31.6,69.0,31.0,62.1,7.2,22.8,13.9,15.1,15.2,54.9,62.7,37.3,85.7,14.3,67.2,32.8
Aaron Holiday,PHX,25,60,33,27,16.0,70.5,29.5,57.8,8.0,28.9,12.0,13.3,17.4,49.7,35.2,64.8,72.2,27.8,44.4,55.6
Aaron Nesmith,BOS,22,49,30,19,11.0,38.6,61.4,43.7,8.7,45.9,13.7,10.4,16.9,35.0,80.0,20.0,92.9,7.1,85.3,14.7
Aaron Wiggins,OKC,23,50,13,37,24.2,59.1,40.9,54.8,1.9,30.3,15.4,14.9,14.4,52.9,56.1,43.9,97.6,2.4,67.3,32.7
Al Horford,BOS,35,67,44,23,29.1,52.9,47.1,50.1,6.9,38.0,6.3,11.9,15.4,43.2,68.5,31.5,97.6,2.4,78.3,21.7
Alec Burks,NYK,30,78,35,43,28.3,46.6,53.4,27.2,6.6,49.8,6.9,23.0,15.0,20.6,40.7,59.3,74.7,25.3,59.3,40.7
Aleksej Pokusevski,OKC,20,61,19,42,20.2,56.8,43.2,55.6,5.6,36.9,17.0,7.5,19.0,50.0,53.5,46.5,94.7,5.3,66.1,33.9
Alex Caruso,CHI,28,41,24,17,28.0,50.8,49.2,39.5,3.9,41.4,9.9,19.1,21.1,35.5,56.7,43.3,92.9,7.1,71.6,28.4
Alperen Sengun,HOU,19,70,18,52,20.3,78.2,21.8,63.1,1.2,12.6,4.4,24.3,14.6,61.9,43.3,56.7,96.4,3.6,49.6,50.4
Amir Coffey,LAC,24,66,30,36,22.9,45.2,54.8,37.5,4.1,45.9,18.6,16.6,17.2,33.3,57.8,42.2,94.4,5.6,74.2,25.8
Andre Drummond,BKN,28,70,39,31,19.7,99.3,0.7,84.7,0.7,0.0,8.5,15.3,15.9,83.9,59.8,40.2,0.0,0.0,59.8,40.2
Andrew Wiggins,GSW,27,71,45,26,31.9,61.1,38.9,50.8,10.6,37.3,10.6,11.9,14.0,40.2,49.5,50.5,89.5,10.5,62.6,37.4
Anfernee Simons,POR,22,57,25,32,29.5,44.5,55.5,35.2,11.9,54.4,8.5,10.4,14.1,23.3,19.5,80.5,65.4,34.6,42.8,57.2
Anthony Davis,LAL,29,40,17,23,35.1,89.9,10.1,77.0,15.5,4.2,9.4,18.8,16.1,61.5,64.7,35.3,84.6,15.4,65.4,34.6
Anthony Edwards,MIN,20,70,38,32,34.4,51.7,48.3,43.5,4.7,42.5,16.8,14.0,20.2,38.8,36.4,63.6,56.0,44.0,44.2,55.8
Anthony Gill,WAS,29,41,15,26,10.1,74.5,25.5,51.5,0.0,23.9,3.1,24.6,13.5,51.5,78.6,21.4,100,0.0,83.6,16.4
Armoni Brooks,TOR,23,52,19,33,15.6,14.2,85.8,17.0,1.4,77.4,8.5,5.6,15.2,15.5,66.7,33.3,82.2,17.8,78.4,21.6
Austin Reaves,LAL,23,58,26,32,22.7,45.8,54.2,43.6,4.6,36.9,14.4,19.5,20.5,39.0,57.6,42.4,100,0.0,72.9,27.1
Austin Rivers,DEN,29,65,40,25,22.0,33.4,66.6,32.0,0.0,60.5,9.8,7.5,11.9,32.0,46.8,53.2,84.6,15.4,67.9,32.1
Avery Bradley,LAL,31,62,27,35,22.7,40.0,60.0,33.5,10.7,62.4,12.2,4.1,19.5,22.8,63.6,36.4,93.9,6.1,80.4,19.6
Ayo Dosunmu,CHI,22,74,41,33,27.2,64.8,35.2,61.6,12.4,31.0,26.3,7.4,20.8,49.2,59.3,40.7,98.5,1.5,69.1,30.9
Bam Adebayo,MIA,24,55,35,20,32.6,99.2,0.8,76.2,8.0,0.0,11.3,23.8,15.7,68.2,60.8,39.2,0.0,0.0,60.8,39.2
Ben McLemore,POR,29,61,20,41,19.8,22.7,77.3,19.7,7.1,69.3,16.8,11.0,21.5,12.6,83.6,16.4,96.5,3.5,92.6,7.4
Blake Griffin,BKN,33,56,29,27,17.1,53.7,46.3,52.9,2.2,31.8,8.9,15.3,16.4,50.7,62.1,37.9,94.7,5.3,71.4,28.6
Bobby Portis,MIL,27,70,44,26,28.3,60.9,39.1,53.7,12.1,38.0,9.4,8.3,13.0,41.7,56.2,43.8,100,0.0,70.2,29.8
Bogdan Bogdanovic,ATL,29,60,31,29,29.3,42.2,57.8,37.4,10.3,52.4,11.6,10.2,16.0,27.1,38.3,61.7,78.8,21.2,57.9,42.1
Bojan Bogdanovic,UTA,32,67,44,23,30.9,49.6,50.4,38.7,2.7,44.0,13.1,17.3,14.0,36.0,56.5,43.5,92.0,8.0,71.8,28.2
Bones Hyland,DEN,21,67,40,27,18.9,37.2,62.8,28.3,6.3,56.4,12.9,15.3,14.7,22.0,37.2,62.8,71.2,28.8,56.6,43.4
Bradley Beal,WAS,28,40,17,23,36.0,72.8,27.2,61.4,17.0,20.4,9.1,18.2,12.8,44.4,36.5,63.5,60.3,39.7,40.8,59.2
Brandon Boston Jr.,LAC,20,50,25,25,14.4,64.8,35.2,51.1,16.0,31.4,13.8,17.5,16.9,35.1,61.4,38.6,58.8,41.2,60.7,39.3
Brandon Clarke,MEM,25,62,43,19,19.6,94.9,5.1,84.4,2.8,2.4,11.7,13.2,16.7,81.6,69.4,30.6,100,0.0,70.0,30.0
Brandon Ingram,NOP,24,55,29,26,34.0,77.0,23.0,60.8,30.5,17.8,8.4,21.4,13.3,30.3,40.1,59.9,89.2,10.8,48.1,51.9
Bruce Brown,BKN,25,69,34,35,24.1,81.7,18.3,68.0,1.7,17.4,21.2,14.6,19.2,66.3,73.7,26.3,97.1,2.9,77.1,22.9
Bryn Forbes,DEN,28,74,36,38,16.9,45.9,54.1,33.8,16.3,54.9,10.5,11.3,12.8,17.5,70.4,29.6,95.7,4.3,83.6,16.4
Buddy Hield,IND,29,79,26,53,30.8,34.7,65.3,29.2,7.8,62.1,17.7,8.7,19.4,21.4,43.3,56.7,84.3,15.7,67.4,32.6
CJ Elleby,POR,21,55,17,38,19.6,59.3,40.7,48.4,3.9,32.4,16.0,19.2,22.2,44.4,63.5,36.5,97.0,3.0,73.8,26.2
CJ McCollum,NOP,30,59,27,32,35.3,59.9,40.1,52.0,18.6,39.4,12.0,8.6,11.3,33.4,24.6,75.4,66.9,33.1,38.8,61.2
Cade Cunningham,DET,20,62,20,42,32.4,64.4,35.6,56.4,10.0,31.5,6.3,12.1,14.3,46.3,23.4,76.6,71.7,28.3,36.5,63.5
Caleb Martin,MIA,26,59,36,23,22.8,62.5,37.5,52.3,5.9,34.8,18.2,12.9,22.1,46.4,59.9,40.1,92.1,7.9,69.8,30.2
Cam Reddish,NYK,22,49,20,29,20.7,54.9,45.1,39.8,8.0,39.8,13.3,20.4,13.5,31.8,52.5,47.5,83.3,16.7,64.8,35.2
Cam Thomas,BKN,20,64,29,35,18.1,65.5,34.5,60.3,25.2,24.5,12.9,15.2,12.9,35.1,41.8,58.2,69.6,30.4,47.7,52.3
Cameron Johnson,PHX,26,63,49,14,26.2,35.2,64.8,26.3,2.0,61.7,15.2,12.0,16.8,24.3,69.5,30.5,97.6,2.4,86.6,13.4
Cameron Payne,PHX,27,57,46,11,22.0,64.3,35.7,54.5,9.1,33.3,7.8,12.2,12.4,45.4,18.0,82.0,63.2,36.8,31.1,68.9
Caris LeVert,CLE,27,56,22,34,30.7,70.1,29.9,60.2,8.1,25.5,10.5,14.3,14.3,52.1,30.3,69.7,63.4,36.6,37.6,62.4
Carmelo Anthony,LAL,37,69,27,42,26.0,45.1,54.9,37.0,19.4,48.6,13.3,14.4,14.1,17.6,48.2,51.8,91.9,8.1,68.7,31.3
Cedi Osman,CLE,26,64,36,28,22.0,36.9,63.1,33.0,2.3,54.7,18.0,12.3,16.6,30.7,67.3,32.7,86.4,13.6,77.3,22.7
Chimezie Metu,SAC,25,58,22,36,21.2,58.3,41.7,54.8,6.6,31.9,9.1,13.3,16.2,48.3,75.4,24.6,96.4,3.6,81.2,18.8
Chris Boucher,TOR,29,77,46,31,21.0,60.8,39.2,54.2,1.9,26.7,13.5,19.1,15.0,52.2,67.2,32.8,98.4,1.6,74.9,25.1
Chris Duarte,IND,24,55,21,34,28.0,58.9,41.1,48.3,15.3,39.2,18.6,12.5,15.6,33.1,47.7,52.3,78.7,21.3,58.6,41.4
Chris Paul,PHX,36,64,52,12,32.8,72.7,27.3,62.2,32.1,20.1,5.0,17.7,11.7,30.1,9.9,90.1,41.3,58.7,15.4,84.6
Christian Wood,HOU,26,68,19,49,30.8,61.7,38.3,50.7,1.8,32.3,5.7,17.0,12.6,48.9,60.5,39.5,84.7,15.3,67.7,32.3
Chuma Okeke,ORL,23,68,20,48,24.8,36.4,63.6,32.7,4.2,57.6,9.9,9.7,13.9,28.5,52.7,47.3,96.3,3.7,76.2,23.8
Clint Capela,ATL,27,71,38,33,27.7,99.8,0.2,90.3,0.3,0.0,7.2,9.7,9.9,90.1,76.9,23.1,0.0,0.0,76.9,23.1
Coby White,CHI,22,59,32,27,27.3,45.4,54.6,38.2,7.0,51.7,13.6,10.1,14.0,31.2,42.3,57.7,90.6,9.4,65.2,34.8
Cody Martin,CHA,26,68,38,30,26.3,62.4,37.6,52.2,3.8,34.0,20.2,13.8,20.7,48.4,63.2,36.8,89.8,10.2,71.3,28.7
Cole Anthony,ORL,21,65,18,47,31.7,57.1,42.9,42.4,8.9,37.3,11.9,20.3,10.2,33.5,24.0,76.0,66.7,33.3,39.8,60.2
Corey Kispert,WAS,23,74,31,43,23.2,38.3,61.7,38.7,3.0,52.5,12.5,8.8,15.7,35.7,79.1,20.9,98.1,1.9,88.1,11.9
Cory Joseph,DET,30,65,19,46,24.6,60.8,39.3,43.4,6.9,37.4,4.0,19.2,16.1,36.5,41.6,58.4,86.2,13.8,57.9,42.1
D'Angelo Russell,MIN,26,65,39,26,31.9,46.9,53.1,38.3,12.1,44.9,12.6,16.8,13.9,26.2,28.0,72.0,63.1,36.9,43.4,56.6
D.J. Augustin,LAL,34,52,13,39,15.8,26.7,73.3,17.5,1.4,70.5,14.4,12.0,14.4,16.1,32.0,68.0,82.1,17.9,68.5,31.5
Dalano Banton,TOR,22,64,37,27,10.9,74.8,25.2,68.3,8.8,19.0,15.6,12.7,17.6,59.5,32.9,67.1,76.9,23.1,39.8,60.2
Damian Jones,SAC,26,54,18,36,17.7,89.6,10.4,72.8,7.6,6.4,2.4,20.8,9.7,65.2,77.9,22.1,88.9,11.1,78.5,21.5
Damion Lee,GSW,29,60,38,22,20.1,50.1,49.9,44.9,7.1,41.3,12.4,13.8,17.6,37.8,77.2,22.8,98.4,1.6,85.3,14.7
Daniel Gafford,WAS,23,69,30,39,20.0,99.7,0.3,84.6,0.6,0.0,6.5,15.4,11.7,84.0,73.2,26.8,0.0,0.0,73.2,26.8
Daniel Theis,BOS,30,44,18,26,20.2,61.8,38.2,61.3,3.6,25.9,4.8,12.8,12.5,57.7,80.6,19.4,96.6,3.4,84.1,15.9
Danilo Gallinari,ATL,33,63,33,30,25.0,50.8,49.2,37.9,15.7,42.6,3.2,19.5,10.1,22.2,47.4,52.6,91.1,8.9,66.1,33.9
Danny Green,PHI,34,59,35,24,21.5,15.4,84.6,13.2,2.4,83.8,15.9,3.0,13.8,10.8,86.4,13.6,92.5,7.5,91.3,8.7
Darius Bazley,OKC,21,69,19,50,27.9,58.6,41.4,52.1,1.1,32.2,11.8,15.7,15.6,51.0,63.9,36.1,95.0,5.0,73.0,27.0
Darius Garland,CLE,22,66,36,30,35.8,61.2,38.8,50.0,14.1,35.2,8.0,14.8,14.1,35.9,26.8,73.2,48.8,51.2,33.8,66.2
David Nwaba,HOU,29,45,6,39,13.2,72.4,27.6,59.7,0.0,19.5,18.6,20.8,19.0,59.7,55.1,44.9,100,0.0,63.1,36.9
Davion Mitchell,SAC,23,73,27,46,27.4,61.4,38.6,58.0,17.8,36.2,8.4,5.8,16.1,40.2,23.5,76.5,65.7,34.3,35.9,64.1
Davis Bertans,DAL,29,53,29,24,14.3,16.2,83.8,14.6,2.1,72.9,8.3,12.5,14.6,12.5,85.7,14.3,98.6,1.4,95.6,4.4
Davon Reed,DEN,26,46,28,18,13.6,44.7,55.3,40.4,13.5,54.4,10.9,5.2,16.1,26.9,61.5,38.5,94.3,5.7,77.0,23.0
De'Aaron Fox,SAC,24,59,22,37,35.3,77.2,22.8,64.7,14.3,16.2,11.9,19.1,11.3,50.3,21.5,78.5,55.4,44.6,26.4,73.6
De'Andre Hunter,ATL,24,50,26,24,29.8,65.9,34.1,51.9,11.9,30.2,10.5,17.9,14.2,40.0,66.9,33.1,92.6,7.4,74.1,25.9
De'Anthony Melton,MEM,23,70,48,22,22.6,46.9,53.1,36.3,5.0,52.5,24.9,11.2,17.9,31.3,46.7,53.3,84.8,15.2,65.4,34.6
DeAndre Jordan,PHI,33,47,25,22,12.8,100,0.0,88.9,0.0,0.0,8.1,11.1,10.6,88.9,78.4,21.6,0.0,0.0,78.4,21.6
DeAndre' Bembry,MIL,27,56,31,25,18.3,83.7,16.3,76.8,0.0,15.8,19.7,7.4,23.2,76.8,72.5,27.5,100,0.0,75.8,24.2
DeMar DeRozan,CHI,32,74,43,31,36.2,90.7,9.3,68.3,32.6,7.1,5.4,24.6,12.4,35.7,21.3,78.7,89.8,10.2,25.8,74.2
DeMarcus Cousins,DEN,31,46,32,14,15.0,62.7,37.3,52.9,1.0,25.5,4.6,21.6,8.0,51.9,59.6,40.4,100,0.0,69.4,30.6
Dean Wade,CLE,25,51,27,24,19.2,34.6,65.4,35.7,5.2,56.9,10.4,7.4,16.0,30.5,56.3,43.8,98.0,2.0,77.8,22.2
Deandre Ayton,PHX,23,57,45,12,29.4,97.5,2.5,87.3,10.4,1.8,3.6,10.9,13.1,76.9,80.6,19.4,100,0.0,80.8,19.2
Dejounte Murray,SAS,25,67,30,37,34.8,76.5,23.5,66.6,18.7,20.1,13.4,13.3,14.7,47.9,19.0,81.0,69.5,30.5,27.5,72.5
Delon Wright,ATL,29,74,40,34,18.7,57.4,42.6,45.8,4.2,39.3,11.6,14.9,21.4,41.7,45.5,54.5,81.8,18.2,58.7,41.3
Deni Avdija,WAS,21,79,35,44,24.0,55.4,44.6,48.1,3.1,36.3,10.1,15.6,13.0,45.0,59.2,40.8,93.7,6.3,70.8,29.2
Dennis Schroder,HOU,28,64,32,32,28.7,65.5,34.5,52.1,13.6,29.8,8.3,18.1,17.0,38.5,26.5,73.5,72.1,27.9,39.1,60.9
Derrick Jones Jr.,CHI,25,48,27,21,17.3,69.3,30.7,60.5,0.8,20.7,14.2,18.8,14.6,59.8,69.6,30.4,100,0.0,75.3,24.7
Derrick White,BOS,27,72,38,34,29.4,54.0,46.0,45.0,5.4,34.2,13.7,20.8,12.7,39.6,40.9,59.1,83.5,16.5,55.2,44.8
Desmond Bane,MEM,23,74,52,22,30.0,52.3,47.7,40.7,11.1,49.3,18.8,10.0,14.6,29.6,59.3,40.7,82.9,17.1,69.8,30.2
Devin Booker,PHX,25,67,55,12,34.4,66.1,33.9,52.3,23.6,30.4,15.3,17.3,17.5,28.7,39.7,60.3,63.0,37.0,46.2,53.8
Devin Vassell,SAS,21,69,29,40,27.2,50.7,49.3,44.3,15.0,46.5,14.9,9.2,16.9,29.3,67.7,32.3,96.9,3.1,79.7,20.3
Devonte' Graham,NOP,27,74,33,41,28.7,31.1,68.9,23.0,8.3,64.3,12.7,12.7,13.8,14.7,30.4,69.6,75.8,24.2,59.9,40.1
Dewayne Dedmon,MIA,32,66,42,24,15.9,84.0,16.0,68.7,4.3,13.6,2.6,17.7,11.7,64.4,70.8,29.2,94.7,5.3,73.6,26.4
Domantas Sabonis,SAC,25,62,21,41,34.4,83.8,16.2,69.0,2.6,10.0,6.7,21.0,11.0,66.4,61.6,38.4,97.4,2.6,64.8,35.2
Donovan Mitchell,UTA,25,66,41,25,33.8,52.0,48.0,44.2,7.6,40.4,7.4,15.4,12.2,36.6,17.2,82.8,48.1,51.9,28.9,71.1
Donte DiVincenzo,SAC,25,40,20,20,23.9,34.6,65.4,23.2,2.3,58.6,12.2,18.2,15.3,21.0,46.3,53.7,84.1,15.9,70.0,30.0
Dorian Finney-Smith,DAL,28,77,48,29,33.2,37.7,62.3,35.9,1.2,57.4,14.7,6.7,14.1,34.7,76.0,24.0,98.8,1.2,87.7,12.3
Doug McDermott,SAS,30,51,21,30,24.0,44.9,55.1,37.0,6.2,56.1,16.3,6.9,10.2,30.8,85.0,15.0,99.1,0.9,92.1,7.9
Draymond Green,GSW,32,43,31,12,29.0,78.0,22.0,67.5,1.9,14.2,13.2,18.3,17.7,65.6,71.0,29.0,100,0.0,74.6,25.4
Drew Eubanks,POR,25,69,19,50,17.2,93.9,6.1,78.3,3.9,3.0,4.5,18.7,10.0,74.4,74.4,25.6,100,0.0,75.0,25.0
Duane Washington Jr.,IND,22,46,12,34,20.1,49.5,50.5,38.6,8.6,51.1,12.7,10.3,8.9,30.0,49.4,50.6,94.7,5.3,70.6,29.4
Duncan Robinson,MIA,27,77,51,26,26.0,14.2,85.8,13.5,1.9,80.5,8.7,6.0,13.1,11.6,82.5,17.5,96.0,4.0,93.3,6.7
Dwight Howard,LAL,36,58,20,38,15.9,94.1,5.9,68.0,0.0,6.2,2.1,25.8,11.4,68.0,68.1,31.9,85.7,14.3,69.1,30.9
Dwight Powell,DAL,30,79,49,30,21.7,90.4,9.6,71.1,0.9,5.8,5.9,23.1,13.7,70.2,85.9,14.1,100,0.0,86.6,13.4
Dylan Windler,CLE,25,48,27,21,9.1,28.4,71.6,27.8,0.0,58.3,9.3,13.9,13.9,27.8,80.0,20.0,95.2,4.8,88.9,11.1
Elfrid Payton,PHX,28,48,39,9,10.9,89.8,10.2,83.6,5.5,8.2,4.8,8.2,9.6,78.1,27.9,72.1,75.0,25.0,30.8,69.2
Eric Bledsoe,POR,32,54,27,27,25.2,65.2,34.8,54.7,9.4,28.7,11.8,16.6,16.7,45.3,30.1,69.9,90.2,9.8,45.7,54.3
Eric Gordon,HOU,33,57,19,38,29.3,46.6,53.4,37.6,1.0,48.6,8.8,13.8,11.1,36.6,34.0,66.0,71.8,28.2,51.5,48.5
Eric Paschall,UTA,25,56,34,22,12.9,53.1,46.9,43.2,1.9,37.0,4.3,19.8,9.3,41.4,58.6,41.4,95.0,5.0,71.8,28.2
Evan Fournier,NYK,29,77,34,43,29.5,36.3,63.7,28.9,9.1,63.9,9.7,7.2,11.1,19.7,47.5,52.5,87.6,12.4,71.4,28.6
Evan Mobley,CLE,20,67,39,28,33.9,88.7,11.3,77.1,10.2,6.9,5.5,16.0,12.7,66.9,65.2,34.8,95.7,4.3,66.9,33.1
Facundo Campazzo,DEN,31,63,37,26,18.6,35.1,64.9,29.8,2.4,52.0,16.7,18.2,18.5,27.4,38.8,61.2,75.4,24.6,58.5,41.5
Frank Jackson,DET,23,50,9,41,22.2,42.1,57.9,38.3,5.9,46.8,12.1,14.9,16.0,32.3,66.0,34.0,94.0,6.0,78.6,21.4
Frank Ntilikina,DAL,23,56,32,24,12.1,50.2,49.8,42.0,14.3,47.9,6.3,10.1,17.2,27.7,52.0,48.0,89.5,10.5,68.2,31.8
Franz Wagner,ORL,20,79,21,58,30.7,72.3,27.7,60.2,2.0,24.1,12.8,15.7,13.6,58.1,53.1,46.9,83.3,16.7,59.4,40.6
Fred VanVleet,TOR,28,65,39,26,37.9,41.5,58.5,30.3,12.4,55.0,13.7,14.7,12.9,17.9,22.5,77.5,59.5,40.5,42.8,57.2
Furkan Korkmaz,PHI,24,64,42,22,21.5,43.6,56.4,41.6,6.0,45.6,11.4,12.8,15.6,35.6,51.9,48.1,86.8,13.2,66.7,33.3
Gabe Vincent,MIA,25,66,46,20,23.6,37.5,62.5,32.8,7.7,59.6,5.1,7.6,16.6,25.1,40.4,59.6,79.8,20.2,62.0,38.0
Garrett Temple,NOP,35,56,22,34,18.9,37.9,62.1,34.7,4.7,56.0,20.0,9.3,18.0,30.0,63.5,36.5,98.2,1.8,81.5,18.5
Garrison Mathews,HOU,25,63,19,44,26.3,16.4,83.6,14.0,0.6,64.1,11.3,21.9,13.6,13.4,75.0,25.0,97.8,2.2,92.1,7.9
Gary Harris,ORL,27,61,16,45,28.4,45.4,54.6,36.5,7.1,51.3,15.9,12.2,18.0,29.5,58.9,41.1,93.1,6.9,75.4,24.6
Gary Payton II,GSW,29,68,44,24,17.4,64.0,36.0,66.1,0.4,27.0,21.5,6.9,22.8,65.7,78.5,21.5,100,0.0,83.1,16.9
Gary Trent Jr.,TOR,23,67,42,25,34.9,48.9,51.1,36.9,16.0,49.1,14.1,14.0,19.9,20.8,39.9,60.1,76.3,23.7,57.0,43.0
George Hill,MIL,35,52,34,18,23.5,51.7,48.3,46.0,5.6,37.3,16.5,16.7,18.9,40.4,45.9,54.1,92.5,7.5,62.3,37.7
Georges Niang,PHI,28,75,48,27,22.9,31.7,68.3,26.0,2.0,66.4,8.5,7.6,11.7,24.0,71.1,28.9,98.0,2.0,88.1,11.9
Giannis Antetokounmpo,MIL,27,65,43,22,32.9,80.5,19.5,61.7,8.6,10.8,14.5,27.5,12.9,53.0,42.7,57.3,42.9,57.1,42.8,57.2
Goga Bitadze,IND,22,50,17,33,14.6,68.3,31.7,61.9,0.6,19.8,7.2,18.3,13.2,61.3,69.4,30.6,100,0.0,74.8,25.2
Gordon Hayward,CHA,32,49,26,23,31.9,64.3,35.7,50.6,14.1,33.2,16.7,16.2,16.2,36.5,57.9,42.1,87.2,12.8,66.8,33.2
Gorgui Dieng,ATL,32,43,22,21,8.6,40.0,60.0,31.2,13.0,56.5,3.2,12.3,7.1,18.2,83.3,16.7,93.1,6.9,88.7,11.3
Grant Williams,BOS,23,74,47,27,24.2,40.1,59.9,32.9,0.7,53.4,9.9,13.7,14.6,32.2,72.9,27.1,99.0,1.0,86.5,13.5
Grayson Allen,MIL,26,66,43,23,27.3,31.6,68.4,26.2,2.7,65.1,15.3,8.7,17.1,23.5,64.6,35.4,91.2,8.8,81.2,18.8
Greg Brown III,POR,20,45,14,31,12.7,70.9,29.1,55.8,1.9,23.7,14.9,20.5,19.1,54.0,63.3,36.7,100,0.0,71.4,28.6
Hamidou Diallo,DET,23,58,14,44,21.9,82.3,17.7,74.8,9.1,10.8,14.6,14.4,24.1,65.7,51.7,48.3,91.3,8.7,55.2,44.8
Harrison Barnes,SAC,29,75,26,49,34.0,56.9,43.1,39.4,2.5,33.6,9.7,27.0,14.8,36.8,56.9,43.1,95.0,5.0,70.7,29.3
Hassan Whiteside,UTA,32,62,38,24,18.0,100,0.0,81.4,0.8,0.0,3.8,18.6,10.2,80.6,65.2,34.8,0.0,0.0,65.2,34.8
Herbert Jones,NOP,23,76,35,41,30.2,70.8,29.2,58.4,4.4,23.0,21.1,18.6,24.1,54.0,62.9,37.1,100,0.0,70.6,29.4
Ignas Brazdeikis,ORL,23,40,8,32,12.0,54.0,46.0,50.3,1.1,41.0,8.2,8.7,12.6,49.2,54.3,45.7,92.0,8.0,67.6,32.4
Immanuel Quickley,NYK,22,75,33,42,22.6,44.9,55.1,32.7,6.8,46.9,8.9,20.4,13.2,25.9,30.6,69.4,54.7,45.3,42.4,57.6
Isaac Okoro,CLE,21,65,33,32,29.8,63.3,36.7,51.3,1.0,28.4,26.7,20.3,18.8,50.3,71.1,28.9,94.5,5.5,77.5,22.5
Isaiah Hartenstein,LAC,23,65,34,31,17.6,93.6,6.4,79.1,0.4,5.1,7.5,15.8,16.2,78.7,74.3,25.7,77.8,22.2,74.4,25.6
Isaiah Joe,PHI,22,53,33,20,10.8,23.6,76.4,17.3,7.6,68.1,4.9,14.6,17.3,9.7,62.5,37.5,100,0.0,89.7,10.3
Isaiah Roby,OKC,24,42,10,32,21.2,70.8,29.2,55.2,2.5,26.6,9.4,18.2,17.0,52.7,72.3,27.7,94.4,5.6,77.7,22.3
Isaiah Stewart,DET,20,68,21,47,25.7,92.1,7.9,82.9,4.7,4.9,11.9,12.2,11.0,78.2,68.7,31.3,100,0.0,69.9,30.1
Ish Smith,WAS,33,62,27,35,17.3,84.3,15.7,78.2,36.8,17.9,6.5,3.9,14.2,41.5,19.2,80.8,69.6,30.4,25.9,74.1
Ish Wainright,PHX,27,43,36,7,7.0,42.7,57.3,41.1,0.0,49.3,11.0,9.6,6.8,41.1,66.7,33.3,100,0.0,81.5,18.5
Ivica Zubac,LAC,25,73,37,36,24.4,100,0.0,78.4,1.1,0.0,5.5,21.6,11.3,77.3,72.3,27.7,0.0,0.0,72.3,27.7
Ja Morant,MEM,22,56,35,21,33.3,78.2,21.8,63.1,2.3,16.7,15.9,20.2,14.4,60.8,24.8,75.2,50.0,50.0,28.6,71.4
JaMychal Green,DEN,31,65,35,30,16.0,61.4,38.6,57.3,5.3,23.9,11.6,18.8,22.2,52.0,68.1,31.9,100,0.0,75.0,25.0
JaVale McGee,PHX,34,71,56,15,15.7,98.2,1.8,84.0,2.4,0.9,4.3,15.1,11.3,81.6,69.9,30.1,100,0.0,70.1,29.9
Jaden McDaniels,MIN,21,68,39,29,25.9,54.5,45.5,54.4,5.1,36.7,12.9,8.9,18.6,49.3,71.3,28.7,100,0.0,80.2,19.8
Jae Crowder,PHX,31,66,53,13,28.2,32.8,67.2,28.4,12.8,60.3,9.9,11.3,16.4,15.6,82.0,18.0,93.7,6.3,88.8,11.2
Jae'Sean Tate,HOU,26,76,19,57,26.3,72.3,27.7,65.4,0.2,20.3,11.3,14.3,12.0,65.2,48.5,51.5,93.4,6.6,56.2,43.8
Jakob Poeltl,SAS,26,66,30,36,28.9,99.8,0.2,89.2,1.8,0.3,1.6,10.5,13.5,87.4,70.5,29.5,100,0.0,70.5,29.5
Jalen Brunson,DAL,25,76,47,29,32.1,75.4,24.6,64.7,17.5,21.6,6.5,13.7,13.4,47.2,25.8,74.2,80.9,19.1,35.9,64.1
Jalen Green,HOU,20,65,12,53,31.7,51.6,48.4,42.6,7.2,41.4,14.4,16.0,15.3,35.4,44.1,55.9,67.3,32.7,53.2,46.8
Jalen McDaniels,CHA,24,52,31,21,16.1,57.0,43.0,48.9,2.6,35.2,13.0,15.9,14.3,46.3,64.0,36.0,100,0.0,75.7,24.3
Jalen Smith,IND,22,51,29,22,18.1,65.1,34.9,57.9,6.4,25.5,6.2,16.6,13.0,51.5,72.1,27.9,100,0.0,78.4,21.6
Jalen Suggs,ORL,20,47,16,31,27.5,64.6,35.4,55.5,7.2,22.0,17.9,22.5,16.3,48.3,36.1,63.9,68.3,31.7,42.9,57.1
James Harden,PHI,32,63,39,24,37.2,54.9,45.1,36.1,3.0,31.1,10.1,32.8,13.7,33.1,17.9,82.1,24.8,75.2,20.4,79.6
James Johnson,BKN,35,62,30,32,19.2,72.3,27.7,71.2,1.2,20.3,7.4,8.5,11.8,70.0,51.2,48.8,91.3,8.7,57.6,42.4
Jaren Jackson Jr.,MEM,22,76,52,24,27.4,61.4,38.6,47.7,1.4,30.2,7.4,22.1,15.0,46.2,56.4,43.6,98.4,1.6,68.9,31.1
Jarred Vanderbilt,MIN,23,72,40,32,25.5,96.3,3.7,82.2,0.0,1.2,22.9,16.6,23.7,82.2,69.7,30.3,100,0.0,70.0,30.0
Jarrett Allen,CLE,23,56,35,21,32.3,98.2,1.8,81.4,3.5,0.3,5.0,18.3,14.0,77.9,73.4,26.6,0.0,100,73.2,26.8
Javonte Green,CHI,28,62,37,25,23.3,68.7,31.3,58.6,0.4,23.5,23.3,17.9,18.8,58.2,69.5,30.5,100,0.0,75.9,24.1
